"trial","ref_position","var_area","response","correct","rt"
1,"R",9.70053566759452,"L",TRUE,1.69099998474121
2,"R",9.70538802305236,"L",TRUE,1.79100012779236
3,"L",9.60585031448863,"R",TRUE,1.09200000762939
4,"L",9.13361491402611,"R",TRUE,0.89300012588501
5,"R",11.9310862692073,"L",TRUE,0.993000030517578
6,"L",12.1169867319986,"R",TRUE,0.992000102996826
7,"R",12.5182854665909,"L",TRUE,1.19100022315979
8,"L",9.92252791137435,"R",TRUE,0.993000030517578
9,"R",13.1158736182842,"L",TRUE,1.28999996185303
10,"R",10.0038394581061,"L",TRUE,1.29299998283386
11,"L",8.38225385826081,"L",TRUE,0.990999937057495
12,"L",14.246465529548,"R",TRUE,0.891999959945679
13,"R",14.728453546064,"L",TRUE,1.09200000762939
14,"L",12.344723866554,"R",TRUE,1.07999992370605
15,"R",11.4101898262743,"L",TRUE,1.4909999370575
16,"R",8.52919661882333,"R",TRUE,1.39299988746643
17,"L",11.014374234248,"R",TRUE,1.29199981689453
18,"R",11.4047962762415,"L",TRUE,1.28999996185303
19,"R",9.42991284746677,"R",FALSE,1.19099998474121
20,"R",11.3304093582556,"L",TRUE,1.09800004959106